Metabolite_name,blank_01,blank_02,blank_03,blank_04,Cultures_QC_01,Cultures_QC_02,POS_BDS_EC_IPLs,POS_Cultures_Pooled_QC_01,POS_Cultures_Pooled_QC_02,POS_Cultures_Pooled_QC_03,POS_Cultures_Pooled_QC_04,POS_Cultures_Pooled_QC_05,POS_Cultures_Pooled_QC_06,POS_u_DA_IPLs,POS_u_EC_IPLs,POS_u_H_IPLs,POS_u_S_IPLs,POS_u2_EC_IPLs,POS_u2_y_IPLs
Unknown,5071,2085,2524,0,14789,23216,4726,18661,23634,23787,22511,3832,24545,2694,7542,12957,32786,7627,6000
Unknown,10425,4040,3813,0,11355,17244,14532,16379,16457,18862,18928,4782,18349,4225,7021,4567,9393,5082,6810
Unknown,4306,2598,1831,0,18448,29028,5460,25982,26189,26410,28088,3650,27492,2474,11219,6391,46210,8011,13824
Unknown,9918,3830,3572,0,18430,10331,8451,49085,16618,11482,11190,6879,9620,7183,8955,12242,15340,7501,16791
Unknown,8156,5939,5419,0,11124,14267,5306,13735,13463,13524,14000,6220,13061,4815,5235,15573,4845,5373,5022
Unknown,4312,2272,2418,0,21236,33336,5381,29634,30319,30802,31796,4115,32988,2455,4841,9432,79090,4636,4974
Unknown,11548,3032,2976,0,6297,11898,3952,9647,9739,10602,9706,4424,10437,3321,4065,4749,22807,4567,4474
Unknown,10184,2567,2762,0,12362,18743,10884,16522,16992,16799,18635,4431,17235,4032,4602,4401,11870,4561,4028
Unknown,7959,4191,4260,0,8529,11357,23499,11043,10448,11366,11711,4928,11943,3924,4908,4461,4225,3866,3879
Unknown,10121,3418,3387,0,11332,14394,14372,12515,15440,18862,13680,4599,14604,4270,12681,4816,9761,10937,4604
Unknown,4411,2268,1880,0,7518,12488,10103,10850,11037,11603,11065,3838,12223,2871,5008,4379,12433,4856,2957
Unknown,9929,7630,6244,0,31054,53357,5640,49593,45272,52169,51917,6823,50957,24166,31801,30116,26381,31018,31285
Unknown,3570,2477,2636,0,21414,17310,7120,18388,18323,18911,20600,2329,18123,5374,16946,11657,23214,15756,15291
Unknown,4496,3776,3267,0,27261,34251,4686,28185,30220,30311,31773,3464,33990,3769,6190,6776,65176,5730,4771
Unknown,5812,3149,3116,0,11903,11963,6971,12767,12776,12975,11965,2697,14020,2965,6981,5087,21227,6672,4642
Unknown,1155,1113,1033,0,62593,82434,1748,74724,80070,80556,78805,1171,83601,1558,24517,62921,53748,39789,48726
Unknown,3562,4547,3947,0,22817,27826,5442,25138,25553,27323,30273,5989,29103,4429,4557,4577,13950,4502,7245
Unknown,2632,1537,1407,0,20900,22915,1888,22582,23834,24519,23581,1142,24628,16415,1968,3058,6952,1318,2182
Unknown,3107,1520,1399,0,38352,38220,3288,38161,32209,32337,37308,1093,37160,1937,2599,3600,10910,2049,4044
Unknown,12216,15516,17400,0,18827,26524,22729,21213,25744,25818,26449,27044,26599,23469,20110,21322,19856,21878,20767
Unknown,12431,3181,3574,0,8227,7484,5239,7537,7792,7053,7528,2484,6788,2678,6260,5640,11738,5654,2660
Unknown,5302,4074,3948,0,20578,20134,9203,20843,17779,17936,19564,3451,19185,8871,14925,19377,31794,12028,9655
Unknown,4001,4535,4562,0,34299,39416,6030,38874,39164,38344,38264,5569,35880,4608,4447,5915,37053,5134,8128
Unknown,3216,1891,1920,0,7345,10514,2457,9560,10541,11498,10832,2054,9967,1856,3742,3217,65733,3051,2859
Unknown,2994,4314,4064,0,102320,87056,5843,100856,98352,90114,90885,6124,85014,3780,4748,15572,89386,4072,8797
Unknown,2998,4052,3998,0,20580,21082,4880,22698,22022,22195,18877,4282,22278,4028,5229,5336,41323,3932,6577
Unknown,3676,4634,3276,0,27845,25144,5569,25309,24209,26063,25883,3870,25348,3309,4470,5176,36667,4192,6396
Unknown,3144,4216,3736,0,54760,49960,4860,51077,46860,49951,51537,3920,50867,3898,4758,6387,24848,4330,6978
Unknown,4321,4123,3707,0,29109,25625,5439,28185,30220,26590,31773,3431,26653,3214,6391,7647,65176,5711,4352
Unknown,3535,3612,3359,0,79838,75265,5547,76846,71793,71626,78652,5250,79410,3836,4411,7585,31911,4846,7782
Unknown,2948,4172,3607,0,159644,153861,5216,152889,138160,133732,153374,6184,150061,3049,3013,6051,90090,2949,8368
Unknown,3704,2239,2209,0,63755,58821,2694,57673,61060,56857,59034,2156,58040,2777,24191,69598,50983,37354,59183
Unknown,3186,3715,4282,0,112926,100550,7698,101675,100942,102237,105329,13259,102039,3483,5355,9979,133150,6117,9205
Unknown,3102,3120,2856,0,21474,25064,4343,23375,24244,24856,26315,2316,24296,7205,11104,18084,25562,14679,16191
Unknown,2957,4032,4505,0,185592,198681,5323,180057,156097,165436,195247,6340,199196,3575,3610,4854,17066,2810,10722
Unknown,24060,30500,33700,0,31922,28851,31122,28734,28868,29046,29769,30286,29271,31702,31898,33621,32452,31678,33733
